,Unnamed: 0,Theme,Sub Theme,Feature Name,x,y,queryKey,explore,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
79,79,Place Of Assembly,Art Gallery/Museum,National Sports Museum,144.984669809381,-37.8189544909462,National Sports Museum,National%20Sports%20Museum,79.142,75.9,81.932,80.178,94.605,79.903,94.321,106.111,86.426,39.911,99.963,83.236
80,80,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,144.973628364465,-37.8320733992876,Shrine of Rembrance Reserve,Shrine%20of%20Rembrance%20Reserve,245.83,174.619,194.534,172.362,141.866,122.914,137.535,138.104,135.234,155.122,145.831,174.69
81,81,Community Use,Public Buildings,Shrine of Remembrance,144.973441913623,-37.8302080020387,Shrine of Remembrance,Shrine%20of%20Remembrance,280.439,198.896,221.58,196.428,161.871,140.291,157.03,157.771,154.414,177.044,166.582,199.337
82,82,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,144.980850432751,-37.8306631583233,Royal Botanic Gardens,Royal%20Botanic%20Gardens,141.364,81.035,131.833,197.514,141.82,135.573,157.48,152.606,145.947,162.733,114.074,167.607
83,83,Leisure/Recreation,Indoor Recreation Facility,Icehouse,144.935684018873,-37.8121881194053,Icehouse,Icehouse,93.133,132.223,140.219,112.889,115.122,118.366,155.105,162.738,94.81,99.836,107.068,78.297
84,84,Place Of Assembly,Theatre Live,Athanaeum Theatre,144.96732254212,-37.814954347831,Athanaeum Theatre,Athanaeum%20Theatre,0.0,0.0,0.0,818.559,673.509,1065.528,1212.434,1527.294,940.361,0.0,0.0,0.0
85,85,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,144.915607065132,-37.7948375315825,Riverside Park,Riverside%20Park,10.42,10.948,11.217,11.237,12.572,11.249,12.49,12.654,10.866,12.378,11.146,10.174
86,86,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,144.968750113566,-37.7976589943217,Carlton Courthouse Theatre,Carlton%20Courthouse%20Theatre,116.803,111.901,138.779,121.321,130.031,105.263,106.831,126.317,114.878,123.588,115.992,110.733
87,87,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,144.910822117306,-37.7823097850883,Melbourne Showgrounds,Melbourne%20Showgrounds,11.956,11.67,12.724,11.792,11.125,11.392,12.388,12.336,10.792,11.859,12.109,12.28
88,88,Place Of Assembly,Theatre Live,Her Majesty's Theatre,144.969520183129,-37.8109975612842,Her Majesty's Theatre,Her%20Majestys%20Theatre,281.816,308.568,348.75,346.188,395.316,337.295,354.669,395.2,354.93,385.363,338.136,317.071
